Document Title,Abstract,Year,PDF Link,Authors,Source,abs,label
conceptual model ict supported unified process international outsourcing software production,ongoing research international outsourcing software production research examines software production ictsupported unified process international outsourcing could executed managed effectively address research question result depth literature review area outsourcing international outsourcing information technology international software production presented study proposes information communication technology ict supported unified process model international outsourcing software production supmiosp ict supmiosp provides detailed guideline manage entire process international outsourcing integrating number key issue relationship risk management theoretical practical aspect ictsupmiosp presented theoretical level model used basis research practical level help manager stakeholder understand multiple activity involved offshore outsourcing improve systematize execute ict supiosp effectively efficiently,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031306,Anicet Yalaho,"EDOCW '06: Proceedings of the 10th IEEE on International Enterprise Distributed Object Computing Conference Workshops , October 2006, Publisher: IEEE Computer Society",1,1
quantitative assessment requirement engineering publication,requirement engineering research conducted year important recognize plethora result accumulated date improve researcher understanding historical root field real world problem trying solve expose researcher breadth depth solution proposed provide synergistic basis improving solution building new one solve real world problem facing industry today increase practitioner awareness available solution detailed meta analysis requirement engineering literature provide objective overview advance current state discipline paper represents first step planned multi year analysis present result demographic analysis date type outlet author author affiliation existing database requirement engineering publication,2007,http://dl.acm.org/citation.cfm?id=1768914&CFID=932216837&CFTOKEN=18963453,"Alan Davis  , Ann Hickey  , Oscar Dieste  , Natalia Juristo   and Ana Moreno","Book Series Lecture Notes in Computer Science, Volume 4542/2007, Book Requirements Engineering: Foundation for Software Quality, Pages 129-143, SpringerLink Date Thursday, June 28, 2007",1,1
survey taxonomy approach mining software repository context software evolution,comprehensive literature survey approach mining software repository msr context software evolution presented particular survey deal investigation examine multiple version software artifact temporal information taxonomy derived analysis literature present work via four dimension type software repository mined purpose adopted invented methodology used evaluation method quality taxonomy demonstrated expressive capable representing wide spectrum msr investigation effective facilitates similarity comparison msr investigation lastly number open research issue msr require investigation identified,2007,http://dl.acm.org/citation.cfm?id=1345057&CFID=932209910&CFTOKEN=86972045,"Huzefa Kagdi, Michael L. Collard, Jonathan I. Maletic","Journal of Software Maintenance and Evolution: Research and Practice,   Volume 19 Issue 2, March 2007, Publisher: John Wiley & Sons, Inc.",1,1
analysis data set used train validate cost prediction system,objective build picture nature type data set used develop evaluate different software project effort prediction system believe important since growing body published work seek ass different prediction approach method performed exhaustive search onwards three software engineering journal research paper used project data set compare cost prediction system result identified total paper used one time total unique project data set observed better known easily accessible data set used repeatedly making potentially disproportionately influential data set also tend amongst oldest potential problem obsolescence also note data set public domain finally extracting relevant information research paper time consuming due different style presentation level contextural information conclusion first community need consider quality appropriateness data set utilised data set equal second need ass way result presented order facilitate meta analysis whether standard protocol would appropriate,2005,http://dl.acm.org/citation.cfm?id=1083166&CFID=932222344&CFTOKEN=20329875,"Carolyn Mair, Martin Shepperd, Magne J?rgensen","PROMISE '05: Proceedings of the 2005 workshop on Predictor models in software engineering, May 2005",1,1
challenge collaborative modeling literature review,modeling key activity conceptual design system design user well stakeholder expert entrepreneur need able create shared understanding system representation paper conducted literature review provide overview study collaborative modeling effort conducted give first insight challenge collaborative modeling specifically respect group composition collaboration participation method modeling method quality collaborative modeling found critical challenge dealing lack modeling skill modeler support group create model group versus training empower participant actively participate modeling effort another critical challenge resolving conflicting part model integration submodels model different perspective overview challenge presented paper inspire design method support system ultimately advance efficiency effectiveness collaborative modeling task,2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846871,"Michiel Renger, Gwendolyn L. Kolfschoten   and Gert-Jan de Vreede","Book Series Lecture Notes in Business Information Processing, Volume 10, Book Advances in Enterprise Engineering I, Pages 61-77, SpringerLink Date Tuesday, June 10, 2008",1,1
controversy corner new research agenda tool integration,article highlight tool integration within software engineering environment tool integration concern technique used form coalition tool provide environment supporting activity within software engineering process technique used create environment attempt address aspect software development varying success article provides timely analysis review many significant project field combined evidence collected industry concludes proposing empirical manifesto future research see need work justify tool integration effort term relevant socio economic indicator,2007,http://dl.acm.org/citation.cfm?id=1282981&CFID=932224415&CFTOKEN=87204745,"M. N. Wicks, R. G. Dewar","Journal of Systems and Software,   Volume 80 Issue 9 , September 2007 , Publisher: Elsevier Science Inc.",1,1
data set data quality software engineering,objective ass extent type technique used manage quality within software engineering data set consider particularly interesting question context initiative promote sharing secondary analysis data set method perform systematic review available empirical software engineering study result many hundred study assessed explicitly considered data quality conclusion first community need consider quality appropriateness data set utilised data set equal second need research mean identifying ideally repairing noisy case third become routine use sensitivity analysis ass conclusion stability respect assumption must made concerning noise level,2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1541819,"Gernot A. Liebchen, Martin Shepperd","PROMISE '08: Proceedings of the 4th international workshop on Predictor models in software engineering, May 2008 , Publisher: ACM",1,1
developing open source software community based analysis research,open source software os creates potential inclusion large diverse community every aspect software development consumption life cycle however despite year effort ever growing research community still know exactly know os clear idea basis knowledge paper present analysis research artefact area open source software purpose study identify kind open source project community researched kind research question asked methodology used researcher emerging study clearer understanding know open source software recommendation future research effort,2015,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449480,"Joseph Feller, Patrick Finnegan, David Kelly and Maurice MacNamara","Book Series IFIP International Federation for Information Processing, Volume 208/2006, Book Social Inclusion: Societal and Organizational Implications for Information Systems, Pages 261-278, SpringerLink Date Wednesday, September 13, 2006",1,1
effectiveness requirement elicitation technique empirical result derived systematic review,paper report systematic review empirical study concerning effectiveness elicitation technique subsequent aggregation empirical evidence gathered study significant result aggregation process follows interview preferentially structured appear one effective elicitation technique many technique often cited literature like card sorting ranking thinking aloud tend le effective interview analyst experience appear relevant factor study conducted found use intermediate representation elicitation significant positive effect noted general rule study result aggregated replicated therefore claim said absolutely certain however used researcher piece knowledge investigated practitioner development project always taking account preliminary finding,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1704061,"By Alan Davis , Oscar Dieste , Ann Hickey , Natalia Juristo , Ana M. Moreno","Found in: 14th IEEE International Requirements Engineering Conference (RE'06)
Issue Date:September 2006 , pp. 179-188",1,1
evidence based guideline assessment software development cost uncertainty,several study suggest uncertainty assessment software development cost strongly biased toward overconfidence software cost estimate typically believed accurate really overconfidence may lead poor project planning mean improving cost uncertainty assessment provide evidence based guideline ass software development cost uncertainty based result relevant empirical study general guideline provided rely solely unaided intuition based uncertainty assessment process replace expert judgment formal uncertainty assessment model apply structured explicit judgment based process apply strategy based outside view project combine uncertainty assessment different source group work mechanical combination use motivational mechanism care greater effort likely lead improved assessment frame assessment problem fit structure relevant uncertainty information assessment process guideline preliminary updated response new evidence,2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1556553,By Magne Jorgensen,"Found in: IEEE Transactions on Software Engineering 
Issue Date:November 2005 , pp. 942-954",1,1
